"id";"project_id";"LOOP_RATE";"POINT_STEP";"QUERY_INTERVAL";"OPERATION";"Latency_AVG"
"94";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_29_07_966";"10";"5000";"550000";"AGG_RANGE_VALUE_QUERY";"268.64"
"102";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_29_23_380";"10";"5000";"600000";"AGG_RANGE_VALUE_QUERY";"286.01"
"110";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_29_38_870";"10";"5000";"650000";"AGG_RANGE_VALUE_QUERY";"323.94"
"118";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_29_54_581";"10";"5000";"700000";"AGG_RANGE_VALUE_QUERY";"353.66"
"126";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_30_10_604";"10";"5000";"750000";"AGG_RANGE_VALUE_QUERY";"369.24"
"134";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_30_26_442";"10";"5000";"800000";"AGG_RANGE_VALUE_QUERY";"399.48"
"142";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_30_42_793";"10";"5000";"850000";"AGG_RANGE_VALUE_QUERY";"428.45"
"150";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_30_59_723";"10";"5000";"900000";"AGG_RANGE_VALUE_QUERY";"729.15"
"158";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_31_19_480";"10";"5000";"950000";"AGG_RANGE_VALUE_QUERY";"1661.23"
"166";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_31_44_057";"10";"5000";"1000000";"AGG_RANGE_VALUE_QUERY";"1653.53"
"174";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_54_51_492";"10";"5000";"1050000";"AGG_RANGE_VALUE_QUERY";"1655.1"
"182";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_55_16_227";"10";"5000";"1100000";"AGG_RANGE_VALUE_QUERY";"1685.82"
"190";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_55_40_570";"10";"5000";"1150000";"AGG_RANGE_VALUE_QUERY";"1666.08"
"198";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_56_05_081";"10";"5000";"1200000";"AGG_RANGE_VALUE_QUERY";"1655.79"
"206";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_56_29_186";"10";"5000";"1250000";"AGG_RANGE_VALUE_QUERY";"1659.37"
"214";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_56_53_404";"10";"5000";"1300000";"AGG_RANGE_VALUE_QUERY";"1657.7"
"222";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_57_17_998";"10";"5000";"1350000";"AGG_RANGE_VALUE_QUERY";"1688.16"
"230";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_57_42_534";"10";"5000";"1400000";"AGG_RANGE_VALUE_QUERY";"1687.19"
"238";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_58_07_490";"10";"5000";"1450000";"AGG_RANGE_VALUE_QUERY";"1687.96"
"246";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_58_32_191";"10";"5000";"1500000";"AGG_RANGE_VALUE_QUERY";"1670.72"
"254";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_58_57_040";"10";"5000";"1550000";"AGG_RANGE_VALUE_QUERY";"1681.59"
"262";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_59_21_554";"10";"5000";"1600000";"AGG_RANGE_VALUE_QUERY";"1679.84"
"270";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_59_47_433";"10";"5000";"1650000";"AGG_RANGE_VALUE_QUERY";"1704.68"
"278";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_11_00_12_514";"10";"5000";"1700000";"AGG_RANGE_VALUE_QUERY";"1681.09"
"286";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_11_00_38_749";"10";"5000";"1750000";"AGG_RANGE_VALUE_QUERY";"1713.12"
"294";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_11_01_03_409";"10";"5000";"1800000";"AGG_RANGE_VALUE_QUERY";"1668.91"
"302";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_11_01_29_386";"10";"5000";"1850000";"AGG_RANGE_VALUE_QUERY";"1675.59"
"310";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_11_01_54_050";"10";"5000";"1900000";"AGG_RANGE_VALUE_QUERY";"1682.87"
